ID,Unit Code,Unit Name,Credit Points,EFTSL,Unit Fee
1,EDUC1104, A World of Mobile Learning,6,0.125,$494 
2,SWSP5306, Aboriginal and Torres Strait Islander Knowledges and Practices for Social Work,6,0.125,"$1,813 "
3,INDG1150, Aboriginal Encounters: Strangers in our Backyard,6,0.125,"$1,813 "
4,AHEA5755, Aboriginal Health,6,0.125,$994 
5,AHEA2201, Aboriginal Health and Wellbeing,6,0.125,$994 
6,AHEA3200, Aboriginal Health Community Organisation Placement,6,0.125,$994 
7,AHEA5801, Aboriginal Health Research and Ethics,6,0.125,$994 
8,AHEA3300, Aboriginal Health Research Project,6,0.125,$994 
9,AHEA3301, Aboriginal Social and Emotional Wellbeing,6,0.125,$994 
10,COMM5706, Accountability and Responsibility in the Media,6,0.125,"$1,813 "
11,ACCT5602, Accounting,6,0.125,"$1,813 "
12,ACCT5633, Accounting for Planning and Control,6,0.125,"$1,813 "
13,SSEH1104, Active Leadership 1: Developing Leadership Skills,6,0.125,"$1,813 "
14,ARCT3050, Active Matter,6,0.125,$994 
15,LAWS5102, Administrative Law,6,0.125,"$1,813 "
16,PSYC2214, Adult Psychopathology,6,0.125,"$1,813 "
17,PSYC3314, Adult Psychopathology,6,0.125,"$1,813 "
18,LAWS1112, Adulting: Law for Everyday Lives,6,0.125,"$1,813 "
19,ACCT4471, Advanced Accounting Research,6,0.125,"$1,813 "
20,APHB5510, Advanced Aesthetic Crossovers of Art and Science,6,0.125,$994 
21,PATH5132, Advanced Anatomical Pathology,6,0.125,$994 
22,ARCT5580, Advanced Architectural Animation,6,0.125,$994 
23,APHB5511, Advanced Art and Life Manipulation,6,0.125,$994 
24,LAWS5237, Advanced Australian International Taxation,6,0.125,"$1,813 "
25,BIOC5001, Advanced Biochemistry and Molecular Biology Techniques,6,0.125,$994 
26,SSEH4633, Advanced Biomechanical Methods,6,0.125,"$1,813 "
27,CHEM3003, Advanced Chemical Synthesis,6,0.125,$994 
28,PHYL5615, Advanced Clinical Audiology Part 1,6,0.125,$994 
29,PHYL5611, Advanced Clinical Audiology Part 2,6,0.125,$994 
30,PATH5122, Advanced Clinical Biochemistry,6,0.125,$994 
31,PATH5142, Advanced Clinical Immunology,6,0.125,$994 
32,PATH5172, Advanced Clinical Microbiology,6,0.125,$994 
33,ELEC5501, Advanced Communications,6,0.125,$994 
34,SWSP5605, Advanced Community Practice,6,0.125,"$1,813 "
35,SSEH4654, Advanced Concepts in Motor Control and Learning,6,0.125,"$1,813 "
